id_jurisdiccion,jurisdiccion,id_finalidad,finalidad,id_funcion,funcion,monto,porcentaje
28,Ministerio De Gobierno,4,Servicios Económicos,12,Industria y Comercio,0,0
30,Ministerio De Desarrollo Urbano,4,Servicios Económicos,12,Industria y Comercio,0,0
35,Ministerio De Ambiente Y Espacio Publico,4,Servicios Económicos,12,Industria y Comercio,31210016,17,525
40,Ministerio De Salud,4,Servicios Económicos,12,Industria y Comercio,0,0
45,Ministerio De Desarrollo Social,4,Servicios Económicos,12,Industria y Comercio,0,0
50,Ministerio De Cultura,4,Servicios Económicos,12,Industria y Comercio,0,0
55,Ministerio De Educacion,4,Servicios Económicos,12,Industria y Comercio,0,0
60,Ministerio De Hacienda,4,Servicios Económicos,12,Industria y Comercio,0,0
65,Ministerio De Desarrollo Economico,4,Servicios Económicos,12,Industria y Comercio,143319197,80,476
68,Ministerio De Modernización,4,Servicios Económicos,12,Industria y Comercio,0,0
90,Secretaria De Gestion Comunal Y Atención Ciudadana,4,Servicios Económicos,12,Industria y Comercio,0,0
98,Servicio De La Deuda Publica,4,Servicios Económicos,12,Industria y Comercio,0,0
99,Obligaciones A Cargo Del Tesoro,4,Servicios Económicos,12,Industria y Comercio,3559092,1,998
1,Legislatura De La Ciudad De Buenos Aires,4,Servicios Económicos,13,Seguro y Finanzas,0,0
2,Auditoria General De La Ciudad De Buenos Aires,4,Servicios Económicos,13,Seguro y Finanzas,0,0
3,Defensoria Del Pueblo,4,Servicios Económicos,13,Seguro y Finanzas,0,0
5,Ministerio Publico,4,Servicios Económicos,13,Seguro y Finanzas,0,0
6,Tribunal Superior De Justicia,4,Servicios Económicos,13,Seguro y Finanzas,0,0
7,Consejo De La Magistratura,4,Servicios Económicos,13,Seguro y Finanzas,0,0
8,Sindicatura General De La Ciudad De Buenos Aires,4,Servicios Económicos,13,Seguro y Finanzas,0,0
9,Procuracion General De La Ciudad,4,Servicios Económicos,13,Seguro y Finanzas,0,0
20,Jefatura De Gobierno,4,Servicios Económicos,13,Seguro y Finanzas,0,0
